127.0.0.1 - - [03/Jan/2019:11:34:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:06 +0530] "GET /Project2Frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:06 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:07 +0530] "GET /Project2Frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Services/jobservice.js HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Services/notificationservice.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Services/userservice.js HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:08 +0530] "GET /Project2Frontend/Controllers/notificationcontroller.js HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:09 +0530] "GET /Project2Frontend/views/home.html HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:11 +0530] "GET /Project2Frontend/views/login.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:25 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:26 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:40:26 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 19750
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:26 +0530] "GET /Project2Frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:26 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:27 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:27 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 19750
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:34 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:45 +0530] "GET /Project2Frontend/views/suggesteduserslist.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:45 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:45 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:45 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:46 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:46 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:49 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET /Project2Frontend/views/friendslist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:50 +0530] "GET /Project2Middleware/getimage?email=msrpsuman@gmail.com HTTP/1.1" 200 96533
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:41:57 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:01 +0530] "GET /Project2Frontend/views/profilepicture.html HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:02 +0530] "GET /Project2Frontend/resources/css/fileinput.min.css HTTP/1.1" 200 7518
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:02 +0530] "GET /Project2Frontend/themes/explorer/theme.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:02 +0530] "GET /Project2Frontend/js/fileinput.min.js HTTP/1.1" 200 81942
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:04 +0530] "GET /Project2Frontend/themes/explorer/theme.js HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:26 +0530] "GET /Project2Frontend/resources/img/loading.gif HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:32 +0530] "GET /Project2Frontend/resources/img/loading-sm.gif HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:37 +0530] "POST /Project2Middleware/uploadprofilepic HTTP/1.1" 200 364544
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:40 +0530] "GET /Project2Frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:41 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:42 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:42:44 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:11:54:59 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:01:58 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:01:58 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:01:58 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:00 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:01 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:01 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:01 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:02 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:02 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:07 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:08 +0530] "GET /Project2Frontend/views/pendingrequests.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:08 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:08 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:08 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:09 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:11 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:12 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:12 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
